DT,GR,NPHI,RHOB,RT,DEPTH
,9.299,,,-1.130102956,253.9
,8.703,,,-0.95191791,254
,10.2,,,-0.980829253,254.1
,10.302,,,-0.946749939,254.2
,11.203,,,-1.075872802,254.3
,12.8,,,-1.058430499,254.4
,12.899,,,-0.949330586,254.5
,12.398,,,-0.928869514,254.6
,11.399,,,-1.096614286,254.7
,10.901,,,-0.954511945,254.8
,11.4,,,-0.901402119,254.9
,11.201,,,-0.837017551,255
,11.902,,,-0.772190388,255.1
,13.103,,,-0.770028225,255.2
,14.401,,,-0.780886095,255.3
,15.101,,,-0.667479434,255.4
,15.602,,,-0.567395975,255.5
,16.502,,,-0.532730459,255.6
,17.401,,,-0.42159449,255.7
,17.902,,,-0.362405619,255.8
,18.801,,,-0.149660775,255.9
,19.4,,,-0.15431736,256
,19.396,,,0.302324349,256.1
,17.596,,,0,256.2
,15.799,,,0.020782539,256.3
,15.501,,,0.066723632,256.4
,15.898,,,-0.068278841,256.5
,14.799,,,-0.14618251,256.6
,14.501,,,-0.355247392,256.7
,15.201,,,-0.436955775,256.8
,15.798,,,-0.500875293,256.9
,14.901,,,0.340037303,257
,15.2,,,0.341459778,257.1
,15.306,,,0.371563556,257.2
,18.203,,,0.43567095,257.3
,19.802,,,0.511025604,257.4
,20.702,,,0.602675277,257.5
,21.8,,,0.683096845,257.6
,21.799,,,0.718327479,257.7
,21.401,,,0.700122794,257.8
,22.002,,,0.673964361,257.9
,23.001,,,0.622724716,258
,23.501,,,0.642905964,258.1
,23.799,,,0.634988266,258.2
,23.399,,,0.665261977,258.3
,23.1,,,0.71392972,258.4
,23.098,,,0.710987099,258.5
,22.298,,,0.730924545,258.6
,21.401,,,0.737164066,258.7
,21.901,,,0.737164066,258.8
,22.502,,,0.730924545,258.9
,23.299,,,0.727065399,259
,22.796,,,0.671923544,259.1
,21.002,,,0.579418415,259.2
,22.205,,,0.560757993,259.3
,24.703,,,0.522951804,259.4
,26,,,0.527092596,259.5
,25.801,,,0.542905517,259.6
,26.498,,,0.638162872,259.7
,25.597,,,0.662687973,259.8
,23.899,,,0.675492245,259.9
,23.299,,,0.688134639,260
,23,,,0.712949808,260.1
,23.1,,,0.683601768,260.2
,22.901,,,0.665775984,260.3
,23.301,,,0.683601768,260.4
,23.902,,,0.69064405,260.5
,24.701,,,0.707543061,260.6
,25.403,,,0.693647056,260.7
,27.1,,,0.697637086,260.8
,27.199,,,0.6775258,260.9
,26.5,,,0.707050086,261
,26.604,,,0.685618914,261.1
,28.597,,,0.633397176,261.2
,26.9,,,0.618423634,261.3
,26.701,,,0.609765572,261.4
,27.4,,,0.698134722,261.5
,27.199,,,0.732367894,261.6
,26.502,,,0.817574759,261.7
,27.4,,,0.775187891,261.8
,27.201,,,0.78845736,261.9
,27.801,,,0.777028665,262
,28.098,,,0.73332897,262.1
,27.299,,,0.716375307,262.2
,26.799,,,0.737164066,262.3
,26.299,,,0.719302138,262.4
,25.601,,,0.732367894,262.5
,26,,,0.719302138,262.6
,25.9,,,0.732848547,262.7
,25.801,,,0.723191302,262.8
,26.202,,,0.676001022,262.9
,27.3,,,0.660623989,263
,27.501,,,0.656483196,263.1
,28.103,,,0.687129108,263.2
,29.401,,,0.724645848,263.3
,30.001,,,0.781158058,263.4
,30.402,,,0.815807193,263.5
,31.605,,,0.88747965,263.6
,34.202,,,0.929799082,263.7
,35.1,,,0.959350221,263.8
,35.001,,,1.029976496,263.9
,35.699,,,1.100610291,264
,35.095,,,1.209258809,264.1
,32.499,,,1.288681532,264.2
,31.897,,,1.229348111,264.3
,30.396,,,1.088898596,264.4
,28.196,,,0.827240915,264.5
,26.294,,,0.667829373,264.6
,23.397,,,0.599934799,264.7
,22.002,,,0.604862266,264.8
,23,,,0.636047589,264.9
,23.199,,,0.641327432,265
,22.699,,,0.666803205,265.1
,22.301,,,0.685618914,265.2
,22.802,,,0.695145183,265.3
,23.7,,,0.70111535,265.4
,23.799,,,0.722220428,265.5
,23.399,,,0.711478137,265.6
,22.799,,,0.672944473,265.7
,22.302,,,0.665261977,265.8
,23.402,,,0.656483196,265.9
,24.299,,,0.667829373,266
,23.802,,,0.681580544,266.1
,24.601,,,0.706063406,266.2
,25.004,,,0.69664107,266.3
,27.199,,,0.697637086,266.4
,26.799,,,0.689139159,266.5
,26.197,,,0.671412688,266.6
,24.602,,,0.657001734,266.7
,25.705,,,0.647626665,266.8
,28.103,,,0.628075184,266.9
,29.699,,,0.594431208,267
,29.299,,,0.556181325,267.1
,29,,,0.474991171,267.2
,29.2,,,0.383219499,267.3
,29.401,,,0.296394013,267.4
,29.699,,,0.256191405,267.5
,29.302,,,0.253866724,267.6
,30.1,,,0.270027137,267.7
,30.198,,,0.269263487,267.8
,29.303,,,0.290428298,267.9
,30.797,,,0.312618558,268
,29.198,,,0.353469813,268.1
,28.301,,,0.377065634,268.2
,28.701,,,0.400787519,268.3
,29.005,,,0.425921117,268.4
,31.502,,,0.450438474,268.5
,32.698,,,0.4940863,268.6
,31.599,,,0.52532007,268.7
,31.1,,,0.554459661,268.8
,31.1,,,0.558472277,268.9
,30.898,,,0.559615788,269
,29.702,,,0.551007413,269.1
,30.701,,,0.535908404,269.2
,31.201,,,0.522951804,269.3
,31.5,,,0.491030996,269.4
,31.601,,,0.462475363,269.5
,31.999,,,0.443402947,269.6
,31.499,,,0.42199441,269.7
,31.203,,,0.415415439,269.8
,32.797,,,0.369492448,269.9
,31.198,,,0.305276381,270
,30.204,,,0.270027137,270.1
,32.003,,,0.28442678,270.2
,33.397,,,0.279901885,270.3
,32.1,,,0.247641023,270.4
,31.901,,,0.210260925,270.5
,32.604,,,0.184818437,270.6
,34.805,,,0.186479567,270.7
,37.602,,,0.189793572,270.8
,38.503,,,0.206200831,270.9
,40.095,,,0.24137632,271
,37.395,,,0.28442678,271.1
,35.101,,,0.282920755,271.2
,35.399,,,0.270027137,271.3
,34.9,,,0.253866724,271.4
,35.001,,,0.235072122,271.5
,35.399,,,0.2390169,271.6
,35.102,,,0.199670195,271.7
,36.201,,,0.175632569,271.8
,36.502,,,0.132781111,271.9
,37.702,,,0.115112807,272
,38.604,,,0.169742775,272.1
,40.802,,,0.249201086,272.2
,41.598,,,0.419368013,272.3
,40.703,,,0.481808675,272.4
,42.399,,,0.48796633,272.5
,41.695,,,0.483659956,272.6
,38.998,,,0.498348102,272.7
,38,,,0.54696467,272.8
,37.902,,,0.602127782,272.9
,38.9,,,0.587786665,273
,38.899,,,0.534151449,273.1
,38.502,,,0.517006483,273.2
,39.398,,,0.512224645,273.3
,38.597,,,0.506215011,273.4
,36.904,,,0.514020515,273.5
,39.002,,,0.503196597,273.6
,39.998,,,0.494696242,273.7
,38.999,,,0.496523839,273.8
,38.599,,,0.47871557,273.9
,38.299,,,0.464991087,274
,37.699,,,0.438254931,274.1
,37.402,,,0.430482871,274.2
,38.501,,,0.456791735,274.3
,39.203,,,0.445967051,274.4
,40.695,,,0.399447036,274.5
,38.295,,,0.41078427,274.6
,35.501,,,0.412771683,274.7
,36.202,,,0.408792898,274.8
