DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2605.2,91.227,24.606,0.24,2.222,0.414,2605.2
2605.3,91.365,25.011,0.243,2.221,0.406,2605.3
2605.4,91.62,25.271,0.244,2.218,0.401,2605.4
2605.5,91.777,24.94,0.246,2.217,0.402,2605.5
2605.6,91.923,24.543,0.249,2.218,0.399,2605.6
2605.7,92.223,24.228,0.252,2.22,0.402,2605.7
2605.8,92.556,25.505,0.255,2.221,0.383,2605.8
2605.9,92.929,25.041,0.257,2.222,0.398,2605.9
2606.0,93.457,25.091,0.257,2.223,0.423,2606.0
2606.1,93.94,25.438,0.256,2.224,0.425,2606.1
2606.2,94.385,25.189,0.254,2.226,0.427,2606.2
2606.3,94.741,25.605,0.252,2.229,0.426,2606.3
2606.4,95.0,27.144,0.25,2.229,0.434,2606.4
2606.5,95.184,29.413,0.248,2.226,0.437,2606.5
2606.6,95.579,29.952,0.247,2.221,0.444,2606.6
2606.7,95.979,29.734,0.247,2.218,0.445,2606.7
2606.8,96.386,30.438,0.247,2.218,0.438,2606.8
2606.9,96.619,29.278,0.249,2.22,0.431,2606.9
2607.0,96.672,29.977,0.254,2.221,0.418,2607.0
2607.1,96.513,31.629,0.26,2.221,0.417,2607.1
2607.2,96.46,31.171,0.261,2.217,0.418,2607.2
2607.3,96.437,31.525,0.258,2.214,0.426,2607.3
2607.4,96.447,32.873,0.258,2.211,0.434,2607.4
2607.5,96.544,33.45,0.258,2.209,0.434,2607.5
2607.6,96.711,32.295,0.259,2.209,0.431,2607.6
2607.7,96.985,31.254,0.26,2.208,0.422,2607.7
2607.8,97.918,32.168,0.265,2.207,0.415,2607.8
2607.9,98.954,30.801,0.278,2.205,0.413,2607.9
2608.0,99.925,30.445,0.3,2.206,0.417,2608.0
2608.1,100.833,30.637,0.323,2.214,0.412,2608.1
2608.2,101.656,29.496,0.338,2.233,0.408,2608.2
2608.3,102.287,28.446,0.341,2.259,0.407,2608.3
2608.4,102.437,28.548,0.347,2.279,0.397,2608.4
2608.5,102.423,29.256,0.354,2.281,0.399,2608.5
2608.6,102.435,31.016,0.357,2.266,0.438,2608.6
2608.7,102.828,35.495,0.35,2.249,0.481,2608.7
2608.8,103.406,43.589,0.338,2.243,0.552,2608.8
2608.9,104.063,51.786,0.326,2.267,0.684,2608.9
2609.0,104.85,59.977,0.315,2.29,0.705,2609.0
2609.1,105.626,58.506,0.314,2.339,0.704,2609.1
2609.2,105.774,54.968,0.326,2.387,0.676,2609.2
2609.3,106.314,53.638,0.341,2.42,0.645,2609.3
2609.4,107.193,53.609,0.358,2.427,0.629,2609.4
2609.5,108.999,52.737,0.365,2.413,0.655,2609.5
2609.6,110.489,51.432,0.367,2.393,0.701,2609.6
2609.7,111.717,50.946,0.37,2.377,0.903,2609.7
2609.8,112.97,50.388,0.39,2.367,1.423,2609.8
2609.9,113.063,52.2,0.41,2.359,1.786,2609.9
2610.0,111.988,56.72,0.419,2.351,1.758,2610.0
2610.1,111.37,60.523,0.43,2.341,1.398,2610.1
2610.2,110.645,63.847,0.44,2.333,1.402,2610.2
2610.3,109.774,66.99,0.447,2.328,1.543,2610.3
2610.4,108.623,66.883,0.455,2.325,1.507,2610.4
2610.5,107.233,70.673,0.445,2.321,1.22,2610.5
2610.6,105.522,73.41,0.42,2.317,0.814,2610.6
2610.7,103.424,72.41,0.391,2.313,0.719,2610.7
2610.8,101.384,71.123,0.36,2.309,0.699,2610.8
2610.9,99.549,73.361,0.339,2.302,0.757,2610.9
2611.0,98.688,73.071,0.332,2.291,0.756,2611.0
2611.1,98.456,74.179,0.339,2.279,0.72,2611.1
2611.2,99.196,71.347,0.356,2.269,0.684,2611.2
2611.3,100.659,69.85,0.378,2.264,0.682,2611.3
2611.4,102.421,65.161,0.396,2.26,0.674,2611.4
2611.5,104.46,60.849,0.407,2.256,0.636,2611.5
2611.6,106.445,56.572,0.403,2.252,0.619,2611.6
2611.7,108.302,53.898,0.387,2.249,0.628,2611.7
2611.8,109.754,54.935,0.376,2.247,0.646,2611.8
2611.9,110.409,61.295,0.368,2.244,0.654,2611.9
2612.0,110.521,65.455,0.362,2.242,0.669,2612.0
2612.1,109.724,68.07,0.359,2.245,0.644,2612.1
2612.2,108.529,70.423,0.357,2.255,0.611,2612.2
2612.3,107.165,67.651,0.356,2.269,0.595,2612.3
2612.4,106.238,61.546,0.361,2.28,0.601,2612.4
2612.5,105.791,57.514,0.363,2.285,0.625,2612.5
2612.6,105.751,56.537,0.366,2.287,0.632,2612.6
2612.7,106.719,59.293,0.363,2.288,0.619,2612.7
2612.8,107.94,62.192,0.362,2.293,0.648,2612.8
2612.9,109.373,61.833,0.364,2.3,0.671,2612.9
2613.0,110.762,60.666,0.374,2.308,0.664,2613.0
2613.1,111.765,60.98,0.393,2.312,0.675,2613.1
2613.2,112.37,59.764,0.406,2.311,0.671,2613.2
2613.3,111.992,60.861,0.404,2.309,0.713,2613.3
2613.4,111.227,63.271,0.372,2.314,0.83,2613.4
2613.5,110.02,63.505,0.311,2.332,0.889,2613.5
2613.6,107.48,65.146,0.236,2.363,0.94,2613.6
2613.7,105.701,69.646,0.165,2.402,0.875,2613.7
2613.8,105.227,73.982,0.125,2.447,0.871,2613.8
2613.9,95.627,80.264,0.117,2.489,0.904,2613.9
2614.0,87.236,82.011,0.147,2.518,0.913,2614.0
2614.1,83.518,77.654,0.205,2.523,0.899,2614.1
2614.2,79.798,74.408,0.271,2.498,1.108,2614.2
2614.3,77.978,67.489,0.331,2.448,1.523,2614.3
2614.4,80.542,58.186,0.371,2.393,2.195,2614.4
2614.5,86.555,47.391,0.383,2.352,2.926,2614.5
2614.6,93.103,39.984,0.383,2.331,3.316,2614.6
2614.7,98.339,38.387,0.381,2.325,2.99,2614.7
2614.8,101.04,42.161,0.379,2.326,1.992,2614.8
2614.9,102.55,49.576,0.381,2.328,1.261,2614.9
2615.0,103.085,55.933,0.377,2.332,0.961,2615.0
2615.1,102.686,62.676,0.374,2.338,0.797,2615.1
2615.2,101.974,66.899,0.371,2.345,0.807,2615.2
2615.3,101.906,68.406,0.371,2.348,0.82,2615.3
2615.4,101.072,66.473,0.368,2.346,0.827,2615.4
2615.5,100.218,67.376,0.367,2.341,0.819,2615.5
2615.6,102.719,69.404,0.36,2.34,0.859,2615.6
2615.7,103.552,67.128,0.334,2.35,0.931,2615.7
2615.8,103.05,66.513,0.296,2.373,0.916,2615.8
2615.9,100.231,68.159,0.257,2.409,0.843,2615.9
2616.0,96.832,68.862,0.229,2.452,0.829,2616.0
2616.1,92.979,67.163,0.223,2.485,0.873,2616.1
2616.2,91.948,65.921,0.248,2.493,0.882,2616.2
2616.3,93.297,65.97,0.289,2.467,0.944,2616.3
2616.4,97.118,66.291,0.321,2.42,0.968,2616.4
2616.5,100.062,65.36,0.348,2.368,1.104,2616.5
2616.6,102.359,58.868,0.366,2.326,1.539,2616.6
2616.7,103.876,49.511,0.384,2.297,2.138,2616.7
2616.8,103.514,45.6,0.399,2.279,2.411,2616.8
2616.9,102.321,47.458,0.403,2.272,2.411,2616.9
2617.0,100.114,55.284,0.396,2.275,2.026,2617.0
2617.1,98.371,61.172,0.378,2.282,1.549,2617.1
2617.2,96.784,64.742,0.351,2.288,1.188,2617.2
2617.3,95.364,65.44,0.33,2.287,0.96,2617.3
2617.4,94.792,64.294,0.31,2.28,0.893,2617.4
2617.5,94.39,64.377,0.296,2.266,0.813,2617.5
2617.6,93.957,64.113,0.284,2.247,0.795,2617.6
2617.7,93.435,65.529,0.28,2.226,0.764,2617.7
2617.8,92.956,65.789,0.278,2.211,0.783,2617.8
2617.9,92.68,64.966,0.277,2.205,0.802,2617.9
