DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2605.5,88.544,26.275,0.284,2.178,0.351,2605.5
2605.6,88.129,24.981,0.283,2.182,0.348,2605.6
2605.7,87.831,24.824,0.28,2.184,0.351,2605.7
2605.8,87.956,25.483,0.273,2.184,0.356,2605.8
2605.9,88.326,24.725,0.265,2.181,0.356,2605.9
2606.0,88.809,24.805,0.26,2.179,0.356,2606.0
2606.1,89.506,24.755,0.259,2.178,0.36,2606.1
2606.2,90.338,25.234,0.264,2.179,0.365,2606.2
2606.3,91.098,26.622,0.271,2.183,0.369,2606.3
2606.4,91.915,27.994,0.276,2.189,0.37,2606.4
2606.5,92.767,27.798,0.277,2.193,0.38,2606.5
2606.6,93.314,30.169,0.276,2.194,0.387,2606.6
2606.7,93.934,32.99,0.273,2.193,0.388,2606.7
2606.8,94.626,34.367,0.27,2.191,0.389,2606.8
2606.9,95.278,34.147,0.267,2.189,0.392,2606.9
2607.0,96.072,33.57,0.266,2.189,0.403,2607.0
2607.1,97.037,33.16,0.267,2.189,0.405,2607.1
2607.2,97.917,33.631,0.269,2.189,0.407,2607.2
2607.3,98.663,32.754,0.272,2.189,0.41,2607.3
2607.4,99.222,32.668,0.274,2.189,0.423,2607.4
2607.5,99.198,32.109,0.276,2.19,0.445,2607.5
2607.6,99.044,30.053,0.279,2.19,0.446,2607.6
2607.7,98.795,28.497,0.283,2.19,0.448,2607.7
2607.8,98.659,29.497,0.289,2.189,0.455,2607.8
2607.9,98.598,31.087,0.301,2.191,0.459,2607.9
2608.0,98.652,35.991,0.318,2.197,0.454,2608.0
2608.1,98.905,42.866,0.344,2.211,0.452,2608.1
2608.2,99.248,49.618,0.368,2.235,0.454,2608.2
2608.3,99.69,54.604,0.384,2.265,0.606,2608.3
2608.4,100.28,60.595,0.386,2.294,0.804,2608.4
2608.5,100.993,63.962,0.371,2.31,0.866,2608.5
2608.6,101.963,61.152,0.351,2.306,0.807,2608.6
2608.7,102.891,52.352,0.342,2.286,0.645,2608.7
2608.8,103.84,45.544,0.343,2.263,0.534,2608.8
2608.9,104.991,44.964,0.354,2.251,0.545,2608.9
2609.0,106.188,47.718,0.363,2.255,0.638,2609.0
2609.1,107.456,53.557,0.375,2.266,0.696,2609.1
2609.2,109.065,58.377,0.388,2.269,0.676,2609.2
2609.3,110.702,58.583,0.41,2.264,0.644,2609.3
2609.4,112.382,62.77,0.435,2.259,0.657,2609.4
2609.5,114.384,71.04,0.458,2.264,0.674,2609.5
2609.6,116.01,74.674,0.477,2.277,0.715,2609.6
2609.7,117.311,75.451,0.49,2.29,0.709,2609.7
2609.8,118.033,77.477,0.495,2.296,0.7,2609.8
2609.9,118.232,78.429,0.495,2.297,0.704,2609.9
2610.0,117.91,77.676,0.492,2.299,0.688,2610.0
2610.1,117.746,75.239,0.484,2.303,0.688,2610.1
2610.2,117.187,74.651,0.471,2.306,0.705,2610.2
2610.3,116.145,73.736,0.449,2.306,0.704,2610.3
2610.4,115.441,71.072,0.427,2.302,0.692,2610.4
2610.5,114.66,64.63,0.407,2.295,0.672,2610.5
2610.6,113.731,60.306,0.392,2.284,0.656,2610.6
2610.7,113.803,56.641,0.379,2.269,0.62,2610.7
2610.8,113.889,52.42,0.372,2.249,0.591,2610.8
2610.9,113.756,49.687,0.369,2.229,0.584,2610.9
2611.0,113.468,45.754,0.367,2.212,0.562,2611.0
2611.1,112.913,46.434,0.367,2.202,0.535,2611.1
2611.2,111.831,47.978,0.363,2.199,0.509,2611.2
2611.3,110.869,48.64,0.362,2.199,0.488,2611.3
2611.4,109.965,49.873,0.368,2.199,0.5,2611.4
2611.5,109.135,51.422,0.373,2.202,0.51,2611.5
2611.6,108.558,54.444,0.373,2.21,0.527,2611.6
2611.7,108.152,53.76,0.368,2.221,0.542,2611.7
2611.8,108.049,53.106,0.369,2.233,0.559,2611.8
2611.9,108.255,53.96,0.378,2.24,0.572,2611.9
2612.0,108.614,58.392,0.402,2.245,0.579,2612.0
2612.1,109.039,63.602,0.431,2.251,0.613,2612.1
2612.2,109.741,65.994,0.453,2.259,0.646,2612.2
2612.3,110.624,67.711,0.46,2.266,0.67,2612.3
2612.4,111.7,69.143,0.45,2.272,0.657,2612.4
2612.5,113.383,69.974,0.433,2.276,0.659,2612.5
2612.6,115.46,67.368,0.417,2.278,0.644,2612.6
2612.7,117.219,65.561,0.41,2.278,0.664,2612.7
2612.8,118.49,67.43,0.41,2.279,0.697,2612.8
2612.9,119.321,72.941,0.411,2.284,0.723,2612.9
2613.0,118.598,77.084,0.41,2.293,0.727,2613.0
2613.1,117.079,80.62,0.41,2.304,0.751,2613.1
2613.2,114.753,83.013,0.405,2.316,0.8,2613.2
2613.3,111.874,82.219,0.39,2.326,0.852,2613.3
2613.4,108.728,79.7,0.357,2.337,0.871,2613.4
2613.5,105.274,71.057,0.308,2.353,0.997,2613.5
2613.6,102.333,60.059,0.257,2.377,1.533,2613.6
2613.7,99.042,50.296,0.222,2.406,2.42,2613.7
2613.8,95.166,50.038,0.219,2.428,2.988,2613.8
2613.9,93.034,53.308,0.234,2.431,4.011,2613.9
2614.0,92.239,53.56,0.251,2.416,3.886,2614.0
2614.1,93.445,53.418,0.269,2.402,2.499,2614.1
2614.2,97.649,55.581,0.279,2.402,2.24,2614.2
2614.3,102.531,55.123,0.279,2.419,2.831,2614.3
2614.4,107.545,54.192,0.288,2.438,2.951,2614.4
2614.5,109.848,54.842,0.297,2.447,2.272,2614.5
2614.6,110.829,58.324,0.316,2.445,1.894,2614.6
2614.7,110.188,63.245,0.345,2.437,1.441,2614.7
2614.8,108.601,68.619,0.355,2.424,0.822,2614.8
2614.9,106.797,73.169,0.332,2.406,0.637,2614.9
2615.0,105.473,71.393,0.315,2.384,0.752,2615.0
2615.1,103.602,63.77,0.287,2.363,0.884,2615.1
2615.2,101.23,54.273,0.273,2.343,0.819,2615.2
2615.3,97.57,48.191,0.265,2.327,0.922,2615.3
2615.4,93.894,46.374,0.262,2.322,1.056,2615.4
2615.5,90.216,50.397,0.273,2.337,1.009,2615.5
2615.6,86.587,54.23,0.297,2.364,1.087,2615.6
2615.7,83.424,55.328,0.317,2.39,1.452,2615.7
2615.8,80.533,54.808,0.318,2.401,1.577,2615.8
2615.9,76.88,51.61,0.286,2.409,3.062,2615.9
2616.0,73.24,48.407,0.255,2.416,3.356,2616.0
2616.1,69.613,43.329,0.202,2.448,4.046,2616.1
2616.2,66.079,39.502,0.158,2.493,4.448,2616.2
2616.3,63.612,40.732,0.138,2.535,4.595,2616.3
2616.4,62.244,45.895,0.15,2.56,4.232,2616.4
2616.5,62.409,56.418,0.188,2.56,3.341,2616.5
2616.6,63.283,66.51,0.242,2.531,2.163,2616.6
2616.7,64.982,72.817,0.295,2.483,1.277,2616.7
2616.8,66.356,71.173,0.331,2.429,1.023,2616.8
2616.9,68.078,65.841,0.346,2.379,0.906,2616.9
2617.0,70.373,61.576,0.348,2.336,0.779,2617.0
2617.1,72.629,55.87,0.344,2.296,0.66,2617.1
2617.2,75.558,50.066,0.343,2.261,0.594,2617.2
2617.3,79.751,47.983,0.335,2.236,0.55,2617.3
2617.4,83.436,44.291,0.323,2.224,0.551,2617.4
2617.5,87.213,41.597,0.312,2.226,0.552,2617.5
2617.6,91.456,42.608,0.304,2.237,0.559,2617.6
2617.7,94.427,45.231,0.3,2.257,0.618,2617.7
2617.8,96.718,45.908,0.293,2.278,0.67,2617.8
2617.9,98.077,46.724,0.288,2.297,0.696,2617.9
2618.0,97.895,48.215,0.294,2.311,0.705,2618.0
2618.1,96.893,55.312,0.315,2.32,0.736,2618.1
2618.2,94.942,66.182,0.349,2.327,0.856,2618.2
2618.3,92.709,75.193,0.381,2.336,0.971,2618.3
2618.4,90.62,79.692,0.395,2.346,0.978,2618.4
2618.5,90.009,77.524,0.385,2.355,0.91,2618.5
2618.6,90.809,75.809,0.353,2.364,0.931,2618.6
2618.7,92.767,70.8,0.307,2.373,1.017,2618.7
2618.8,97.5,58.014,0.259,2.382,1.118,2618.8
2618.9,101.559,47.596,0.229,2.392,1.366,2618.9
2619.0,104.984,41.677,0.221,2.4,1.902,2619.0
2619.1,105.994,40.76,0.242,2.401,1.94,2619.1
2619.2,104.486,48.855,0.273,2.394,1.623,2619.2
2619.3,100.801,56.212,0.291,2.384,1.138,2619.3
2619.4,96.866,55.11,0.29,2.382,1.072,2619.4
2619.5,93.867,50.181,0.285,2.399,1.378,2619.5
2619.6,91.851,51.172,0.291,2.432,1.695,2619.6
2619.7,93.944,58.972,0.317,2.461,1.362,2619.7
2619.8,96.718,68.027,0.35,2.468,0.966,2619.8
2619.9,100.163,73.652,0.37,2.448,0.716,2619.9
2620.0,103.387,75.449,0.367,2.415,0.622,2620.0
2620.1,105.68,69.968,0.341,2.383,0.632,2620.1
2620.2,106.564,58.348,0.31,2.357,0.689,2620.2
2620.3,106.143,47.029,0.288,2.328,0.641,2620.3
2620.4,105.243,40.319,0.278,2.294,0.559,2620.4
2620.5,103.805,38.072,0.279,2.259,0.472,2620.5
2620.6,102.598,40.434,0.288,2.231,0.435,2620.6
2620.7,101.884,46.777,0.304,2.217,0.447,2620.7
2620.8,102.217,52.163,0.325,2.217,0.469,2620.8
2620.9,103.339,60.08,0.35,2.227,0.486,2620.9
2621.0,104.86,71.91,0.38,2.245,0.526,2621.0
2621.1,106.885,82.056,0.416,2.268,0.565,2621.1
2621.2,108.537,89.604,0.454,2.292,0.6,2621.2
2621.3,109.957,88.595,0.483,2.311,0.608,2621.3
2621.4,111.015,85.172,0.488,2.322,0.62,2621.4
2621.5,111.546,81.593,0.466,2.322,0.616,2621.5
2621.6,111.785,74.395,0.428,2.313,0.599,2621.6
2621.7,111.803,62.138,0.39,2.294,0.556,2621.7
2621.8,111.712,54.434,0.368,2.265,0.479,2621.8
2621.9,111.562,52.844,0.366,2.232,0.428,2621.9
2622.0,111.459,55.43,0.379,2.211,0.416,2622.0
2622.1,111.487,62.671,0.398,2.214,0.448,2622.1
2622.2,111.611,70.683,0.417,2.239,0.513,2622.2
2622.3,111.794,78.678,0.432,2.272,0.551,2622.3
2622.4,111.645,81.801,0.438,2.298,0.547,2622.4
2622.5,111.209,79.606,0.434,2.311,0.541,2622.5
2622.6,110.221,80.11,0.425,2.314,0.516,2622.6
2622.7,108.841,81.418,0.424,2.311,0.49,2622.7
2622.8,107.036,85.261,0.432,2.305,0.488,2622.8
2622.9,105.88,87.627,0.441,2.299,0.487,2622.9
2623.0,105.389,85.95,0.436,2.294,0.48,2623.0
